codgr	libgr	sougr	libsougr	codal	libal	libgren	libsougren	codsougr
7	biscuits sucrés ou salés et barres	1	biscuits sucrés	24430	biscuit sec aux œufs à la cuillère ou boudoir	biscuits	sweet biscuits	71
7	biscuits sucrés ou salés et barres	1	biscuits sucrés	24441	langue de chat	biscuits	sweet biscuits	71
7	biscuits sucrés ou salés et barres	1	biscuits sucrés	24615	tuile aux amandes	biscuits	sweet biscuits	71
7	biscuits sucrés ou salés et barres	1	biscuits sucrés	24659	biscuit sec feuilleté type petits cœurs nature ou palmito	biscuits	sweet biscuits	71
7	biscuits sucrés ou salés et barres	1	biscuits sucrés	24678	barquette à la pulpe de fruit fabrication industrielle	biscuits	sweet biscuits	71
7	biscuits sucrés ou salés et barres	1	biscuits sucrés	24684	cookie	biscuits	sweet biscuits	71
7	biscuits sucrés ou salés et barres	1	biscuits sucrés	92033	autre biscuit sucré	biscuits	sweet biscuits	71
7	biscuits sucrés ou salés et barres	2	biscuits salés pour apéritif	4004	chips de pomme de terre salées	biscuits	crackers	72
7	biscuits sucrés ou salés et barres	2	biscuits salés pour apéritif	38105	chips de maïs ou tortilla chips type nacho cheese ou dippas nature doritos	biscuits	crackers	72
7	biscuits sucrés ou salés et barres	2	biscuits salés pour apéritif	38106	biscuit apéritif soufflé à base de pomme de terre type chipster lu	biscuits	crackers	72
7	biscuits sucrés ou salés et barres	2	biscuits salés pour apéritif	38400	biscuit apéritif soufflé à base de maïs sans cacahuète	biscuits	crackers	72
7	biscuits sucrés ou salés et barres	2	biscuits salés pour apéritif	38401	biscuit apéritif type cracker garni ou fourré au fromage type monaco lu	biscuits	crackers	72
7	biscuits sucrés ou salés et barres	2	biscuits salés pour apéritif	38402	biscuit apéritif type cracker nature type tuc ou triangolini	biscuits	crackers	72
7	biscuits sucrés ou salés et barres	2	biscuits salés pour apéritif	38403	biscuit apéritif type cracker allégé en matière grasse	biscuits	crackers	72
7	biscuits sucrés ou salés et barres	3	barres céréalières	31100	barre céréalière à base de céréales et de lait pour petit déjeuner avec ou sans	biscuits	cereal bars	73
7	biscuits sucrés ou salés et barres	3	barres céréalières	31101	barre céréalière aux fruits enrichie en vitamines et minéraux	biscuits	cereal bars	73
7	biscuits sucrés ou salés et barres	3	barres céréalières	31102	barre céréalière chocolatée enrichie en vitamines et minéraux	biscuits	cereal bars	73
7	biscuits sucrés ou salés et barres	3	barres céréalières	31106	barre chocolatée céréalière type grany céréales chocolat	biscuits	cereal bars	73
7	biscuits sucrés ou salés et barres	3	barres céréalières	31113	barre céréalière aux fruits	biscuits	cereal bars	73
7	biscuits sucrés ou salés et barres	3	barres céréalières	31114	barre céréalière aux amandes ou noisettes	biscuits	cereal bars	73
8	pâtisseries et gâteaux	1	gâteaux	23000	gâteau sans précision	cake and pastry	cake	81
8	pâtisseries et gâteaux	1	gâteaux	23007	gâteau mousse aux fruits sur génoise type miroir aux fruits rouges de picard	cake and pastry	cake	81
8	pâtisseries et gâteaux	1	gâteaux	23021	baba au rhum	cake and pastry	cake	81
8	pâtisseries et gâteaux	1	gâteaux	23032	brownie au chocolat	cake and pastry	cake	81
8	pâtisseries et gâteaux	1	gâteaux	23050	gâteau de savoie	cake and pastry	cake	81
8	pâtisseries et gâteaux	1	gâteaux	23081	quatre-quarts fabrication industrielle	cake and pastry	cake	81
