,Unnamed: 0,codgr,libgr,sougr,libsougr,codal,libal,libgren,libsougren,codsougr,codgr_,sougr_,codal_,codsougr_
55,55,4,riz et blé dur ou concassé,1,blé,9683,couscous (graine seule) semoule cuite,rice or wheat,wheat,41,4,1421,42139683,421
56,56,4,riz et blé dur ou concassé,2,riz,9103,riz complet cuit,rice or wheat,rice,42,4,1422,42239103,422
57,57,4,riz et blé dur ou concassé,2,riz,9104,riz blanc cuit,rice or wheat,rice,42,4,1422,42239104,422
58,58,4,riz et blé dur ou concassé,2,riz,9105,riz blanc étuvé cuit,rice or wheat,rice,42,4,1422,42239105,422
59,59,5,autres céréales,99,sans,9230,pop corn ou maïs éclaté à l'huile salé,other cereals,other cereals,599,5,15299,529939230,5299
60,60,5,autres céréales,99,sans,9313,flocons d'avoine cuits à l'eau,other cereals,other cereals,599,5,15299,529939313,5299
61,61,5,autres céréales,99,sans,9615,polenta ou semoule de maïs cuite,other cereals,other cereals,599,5,15299,529939615,5299
62,62,5,autres céréales,99,sans,9660,germes de blé,other cereals,other cereals,599,5,15299,529939660,5299
63,63,6,viennoiserie,99,sans,7601,croissant sans précision,viennoiserie,viennoiserie,699,6,16299,629937601,6299
64,64,6,viennoiserie,99,sans,7615,croissant ordinaire artisanal,viennoiserie,viennoiserie,699,6,16299,629937615,6299
65,65,6,viennoiserie,99,sans,7620,croissant au beurre artisanal,viennoiserie,viennoiserie,699,6,16299,629937620,6299
66,66,6,viennoiserie,99,sans,7650,croissant aux amandes artisanal,viennoiserie,viennoiserie,699,6,16299,629937650,6299
67,67,6,viennoiserie,99,sans,7710,pain au lait artisanal,viennoiserie,viennoiserie,699,6,16299,629937710,6299
68,68,6,viennoiserie,99,sans,7720,pain aux raisins,viennoiserie,viennoiserie,699,6,16299,629937720,6299
69,69,6,viennoiserie,99,sans,7730,pain au chocolat feuilleté artisanal,viennoiserie,viennoiserie,699,6,16299,629937730,6299
70,70,6,viennoiserie,99,sans,7740,brioche industrielle préemballée,viennoiserie,viennoiserie,699,6,16299,629937740,6299
71,71,6,viennoiserie,99,sans,7741,brioche sans précision,viennoiserie,viennoiserie,699,6,16299,629937741,6299
72,72,6,viennoiserie,99,sans,23480,chausson aux pommes,viennoiserie,viennoiserie,699,6,16299,6299323480,6299
73,73,6,viennoiserie,99,sans,24660,palmier artisanal,viennoiserie,viennoiserie,699,6,16299,6299324660,6299
74,74,6,viennoiserie,99,sans,92510,autre viennoiserie,viennoiserie,viennoiserie,699,6,16299,6299392510,6299
75,75,7,biscuits sucrés ou salés et barres,1,biscuits sucrés,24000,biscuit sec sans précision,biscuits,sweet biscuits,71,7,1721,721324000,721
76,76,7,biscuits sucrés ou salés et barres,1,biscuits sucrés,24002,biscuit diététique à teneur garantie en vitamines,biscuits,sweet biscuits,71,7,1721,721324002,721
77,77,7,biscuits sucrés ou salés et barres,1,biscuits sucrés,24003,biscuit diététique à teneur garantie en vitamines et minéraux,biscuits,sweet biscuits,71,7,1721,721324003,721
78,78,7,biscuits sucrés ou salés et barres,1,biscuits sucrés,24015,biscuit sec petit beurre,biscuits,sweet biscuits,71,7,1721,721324015,721
79,79,7,biscuits sucrés ou salés et barres,1,biscuits sucrés,24016,biscuit sec petit beurre + tablette de chocolat type lu petit écolier,biscuits,sweet biscuits,71,7,1721,721324016,721
80,80,7,biscuits sucrés ou salés et barres,1,biscuits sucrés,24031,biscuit sec corquant genre tuile sans chocolat allégé en matière grasse,biscuits,sweet biscuits,71,7,1721,721324031,721
81,81,7,biscuits sucrés ou salés et barres,1,biscuits sucrés,24034,biscuit sec pour petit déjeuner type lu ou prince,biscuits,sweet biscuits,71,7,1721,721324034,721
82,82,7,biscuits sucrés ou salés et barres,1,biscuits sucrés,24036,biscuit sec au chocolat sans précision,biscuits,sweet biscuits,71,7,1721,721324036,721
83,83,7,biscuits sucrés ou salés et barres,1,biscuits sucrés,24037,biscuit sec fourré à la pâte de fruit type figolu à la figue,biscuits,sweet biscuits,71,7,1721,721324037,721
84,84,7,biscuits sucrés ou salés et barres,1,biscuits sucrés,24038,biscuit sec nappé de chocolat type pépito ou mikado lu,biscuits,sweet biscuits,71,7,1721,721324038,721
85,85,7,biscuits sucrés ou salés et barres,1,biscuits sucrés,24049,galette ou sablé ou palet type galette du mont saint michel,biscuits,sweet biscuits,71,7,1721,721324049,721
